,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2022-05-03,SS,0,삼성,승리, 10:6,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
1,2022-05-06,SS,1,LG,패배, 15:8,4,2,0,3,2,1,1,0,0,1,4,2,0,0,1,0,0,0,1,0,0,0.500,0.667,2.000,2.667,11,0.07,1.73,0.007
2,2022-05-07,SS,1,LG,패배, 6:3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.667,2.000,2.667,0,,,
3,2022-05-10,SS,0,롯데,패배, 0:7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.667,2.000,2.667,0,,,
4,2022-05-15,SS,0,SSG,승리, 8:7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.667,2.000,2.667,0,,,
5,2022-05-17,SS,1,키움,패배, 11:4,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.500,1.333,1.833,5,0.17,-0.37,-0.004
6,2022-05-20,SS,0,KIA,패배, 3:5,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.400,1.000,1.400,4,0.44,-0.09,-0.012
7,2022-05-22,SS,0,KIA,패배, 6:8,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.333,0.800,1.133,3,0.07,-0.25,-0.002
8,2023-10-07,SS,0,KT,패배, 0:17,6,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.00,0.42,0.000
9,2023-10-08,SS,0,KT,패배, 2:9,9,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,3,0.00,-0.10,0.000
